BP;latitud_obs;longitud_obs;direccion;comuna;lat;lon
1103;-33.626.412;-70.844.758;CAMINO SAN JAVIER LARRAIN PARCELA 3-A;MALLOCO;-0,336264;-0,708448
1106;-33.330.313;-7.050.946;CAMINO LA CUMBRE 4122;LO BARNECHEA;-0,333303;-0,705095
1109;-33.487.679;-70.542.843;PARQUE LAUCA SUR 8956;PEÑALOLEN;-0,334877;-0,705428
1120;-33.653.432;-70.919.672;AV RAFAEL CALDERON AVILA 725;TALAGANTE;-0,336534;-0,709197
1130;-33.687.835;-70.909.624;CAMINO CARAMPANGUE 175;TALAGANTE;-0,336878;-0,709096
1131;-3.338.856;-70.501.006;SAN FRANCISCO DE ASIS 1855;LAS CONDES;-0,333886;-0,705010
1145;-33.497.476;-70.533.708;NATALIA LARRAIN VIAL 4429;PEÑALOLEN;-0,334975;-0,705337
1147;-33.353.691;-70.479.323;CAMINO LOS REFUGIOS DEL ARRAYAN 16775;LO BARNECHEA;-0,333537;-0,704793
1165;-33.264.868;-70.622.526;EL HUILLE 403;COLINA;-0,332649;-0,706225
1193;-3.332.601;-70.548.363;CAMINO LA TAGUA 3664;LO BARNECHEA;-0,333260;-0,705484
1264;-33.399.878;-70.582.389;LAS HUALTATAS 5099;VITACURA;-0,333999;-0,705824
1265;-33.339.384;-70.507.593;CAMINO DEL MICHAI 3302;LO BARNECHEA;-0,333394;-0,705076
1266;-3.340.312;-70.555.008;RAFAEL SANZIO 77;LAS CONDES;-0,334031;-0,705550
1293;-33.392.968;-70.594.717;AGUSTIN DEL CASTILLO 2693;VITACURA;-0,333930;-0,705947
1299;-33.416.681;-70.521.999;LA MESETA 11250;LAS CONDES;-0,334167;-0,705220
1318;-33.580.316;-70.827.388;CAMINO MELIPILLA 3812;PADRE HURTADO;-0,335803;-0,708274
1327;-33.411.552;-70.527.543;COLINA DEL SUR 9749;LAS CONDES;-0,334116;-0,705275
1344;-33.435.855;-70.524.217;ONOFRE JARPA 10218;LA REINA;-0,334359;-0,705242
1380;-3.338.531;-70.575.483;AUSONIA 2177;VITACURA;-0,333853;-0,705755
1403;-33.426.914;-70.561.635;LATADIA 6484;LAS CONDES;-0,334269;-0,705616
1404;-33.420.917;-70.577.313;FELIX DE AMESTI 963;LAS CONDES;-0,334209;-0,705773
1409;-23.542.436;-46.577.058;INTERCITY TATUAPE 0;LAS CONDES;-0,235424;-0,465771
1421;-33.412.556;-70.550.079;CACHAPOAL 7754;LAS CONDES;-0,334126;-0,705501
1477;-33.226.948;-70.660.126;LOS MAITENES 3040;COLINA;-0,332269;-0,706601
1487;-3.323.571;-70.662.599;EL AROMO 2030;COLINA;-0,332357;-0,706626
1493;-33.260.074;-70.626.862;CAMINO LA MEDIALUNA 22;COLINA;-0,332601;-0,706269
1497;-33.351.782;-70.505.115;LOS PRADOS 1923;LO BARNECHEA;-0,333518;-0,705051
1501;-33.419.004;-70.560.974;MARTIN ALONSO PINZON 6500;LAS CONDES;-0,334190;-0,705610
1506;-33.406.148;-70.584.894;CERRO LA PARVA 777;LAS CONDES;-0,334061;-0,705849
1528;-32.959.351;-71.544.655;AV EDMUNDO ELUCHANS 1665;VIÑA DEL MAR;-0,329594;-0,715447
1552;-32.973.663;-71.541.157;SIMPSON 80;VIÑA DEL MAR;-0,329737;-0,715412
1571;-33.359.934;-70.667.485;PAILLACAR 6935;HUECHURABA;-0,333599;-0,706675
1577;-33.408.982;-70.573.469;FLOR DE AZUCENAS 65;LAS CONDES;-0,334090;-0,705735
1589;-33.533.838;-7.055.016;GINGKO AMARILLO 8947;LA FLORIDA;-0,335338;-0,705502
1608;-32.675.402;-71.437.778;LAS VIOLETAS 315;PUCHUNCAVI;-0,326754;-0,714378
1619;-33.420.401;-70.621.528;AV EL CERRO 1827;PROVIDENCIA;-0,334204;-0,706215
1626;-3.332.056;-70.564.907;PASEO LOS BRAVOS 4500;LO BARNECHEA;-0,333206;-0,705649
1646;-3.342.564;-70.562.491;HERNANDO DE MAGALLANES 1651;LAS CONDES;-0,334256;-0,705625
1667;-33.417.499;-70.573.865;MARTIN DE ZAMORA 4965;LAS CONDES;-0,334175;-0,705739
1672;-33.424.878;-70.611.499;AV PEDRO DE VALDIVIA 150;PROVIDENCIA;-0,334249;-0,706115
1676;-3.337.379;-71.168.836;PARCELA EL NARANJO LOTE 47 M - 2;CURACAVI;-0,333738;-0,711688
1704;-3.346.531;-70.517.995;LAS TORTOLAS 387;PEÑALOLEN;-0,334653;-0,705180
1714;-33.424.236;-70.595.967;LOS CRISANTEMOS 833;PROVIDENCIA;-0,334242;-0,705960
1723;-33.442.017;-70.544.875;AVENIDA ECHEÑIQUE 8300;LA REINA;-0,334420;-0,705449
1750;-33.242.465;-70.786.613;CAMINO LOS GUERREROS 20 D, CON LAGO PELLAIFA 0;LAMPA;-0,332425;-0,707866
1755;-33.308.597;-70.655.873;PADRE MARCOS 11595;COLINA;-0,333086;-0,706559
1779;-33.323.142;-70.535.209;PASEO DEL ALCALÁ 10400;LO BARNECHEA;-0,333231;-0,705352
1791;-33.341.361;-70.499.525;CAMINO DEL ATARDECER 14693;LO BARNECHEA;-0,333414;-0,704995
1797;-33.665.372;-70.583.425;ALCALDE HERNAN PRIETO VIAL 2750;PIRQUE;-0,336654;-0,705834
1810;-33.537.464;-70.900.092;CAMINO A CUESTA BARRIGA PARCELA 11;PADRE HURTADO;-0,335375;-0,709001
1825;-33.406.141;-70.585.177;CERRO LA PARVA 766;LAS CONDES;-0,334061;-0,705852
1832;-332.497;-706.754;CAMINO LO ARCAYA S/N;COLINA;-3,324970;-7,067540
1842;-3.348.936;-70.571.766;EL ESTERO ORIENTE 5561;PEÑALOLEN;-0,334894;-0,705718
1849;-334.117;-70.504.192;CARLOS PEÑA OTAEGUI 12501;LAS CONDES;-3,341170;-0,705042
1853;-33.385.211;-7.060.769;BOSQUES DE LA PIRAMIDE 980;HUECHURABA;-0,333852;-0,706077
1855;-33.444.459;-70.565.813;AV ECHEÑIQUE 6300;LA REINA;-0,334445;-0,705658
1859;-33.667.265;-70.842.998;CAMINO LONQUEN PARADERO 30 PARCELA 9;TALAGANTE;-0,336673;-0,708430
1882;-33.393.107;-7.057.924;CHAPULTEPEC 5545;VITACURA;-0,333931;-0,705792
1888;-33.392.837;-70.545.135;LAS VERBENAS 9000;LAS CONDES;-0,333928;-0,705451
1893;-33.446.498;-7.057.874;ECHEÑIQUE 5011;ÑUÑOA;-0,334465;-0,705787
1894;-33.387.806;-70.518.462;CAMINO OTOÑAL 1020;LAS CONDES;-0,333878;-0,705185
1895;-33.389.479;-70.548.266;AV PADRE HURTADO NORTE 2541;VITACURA;-0,333895;-0,705483
1898;-33.228.164;-70.660.611;LOS QUELTEHUES 38;COLINA;-0,332282;-0,706606
1905;-33.392.067;-70.512.829;CAMINO LAS VERTIENTES 1136;LAS CONDES;-0,333921;-0,705128
1913;-33.483.921;-7.053.837;PARQUE LAGUNA DE LAJA SUR 9171;PEÑALOLEN;-0,334839;-0,705384
1914;-32.954.926;-71.544.181;EDMUNDO ELUCHANS 2255;VIÑA DEL MAR;-0,329549;-0,715442
1919;-3.327.127;-7.065.511;CONDOMINIO LOS CONDORES 31;COLINA;-0,332713;-0,706551
1927;-33.705.255;-70.896.682;CAMINO CARAMPANGUE PARCELA 3;TALAGANTE;-0,337053;-0,708967
1931;-3.352.671;-70.767.081;PASAJE LOS DIAMANTES 188;MAIPÚ;-0,335267;-0,707671
1957;-33.463.695;-70.624.669;SAN EUGENIO 1209;ÑUÑOA;-0,334637;-0,706247
1965;-33.356.086;-70.519.454;LOS CACTUS 1898;LO BARNECHEA;-0,333561;-0,705195
1983;-33.687.835;-70.909.624;CAMINO CARAMPANGUE 175;TALAGANTE;-0,336878;-0,709096
2005;-33.306.905;-70.657.936;CAMINO DEL SOLAR 13616;COLINA;-0,333069;-0,706579
2023;-3.338.527;-706.087;RINCONADA EL SALTO 955;HUECHURABA;-0,333853;-7,060870
2036;-3.341.805;-70.563.399;CARLOS LIRA INFANTE 1130-B;LAS CONDES;-0,334181;-0,705634
2056;-33.446.402;-70.643.908;SAN ISIDRO 250;SANTIAGO;-0,334464;-0,706439
2057;-33.417.459;-70.564.633;AV MANQUEHUE SUR 1041;LAS CONDES;-0,334175;-0,705646
2064;-33.363.864;-70.514.751;AV LA DEHESA 224;LO BARNECHEA;-0,333639;-0,705148
2070;-33.418.521;-70.570.423;CRISTOBAL COLON 5267;LAS CONDES;-0,334185;-0,705704
2081;-3.340.368;-70.512.217;LOS OLIVOS 12179;LAS CONDES;-0,334037;-0,705122
2083;-33.406.591;-7.059.521;PRESIDENTE KENNEDY 3456;VITACURA;-0,334066;-0,705952
2084;-33.287.741;-70.713.333;LOS LIRIOS ESQUINA AV. ALDUNATE URRUTIA 0;COLINA;-0,332877;-0,707133
2091;-33.752.783;-70.742.303;ADELINO MENDEZ ARIAS 48;BUIN;-0,337528;-0,707423
2094;-33.418.766;-70.556.919;FONTANA ROSA 7106;LAS CONDES;-0,334188;-0,705569
2126;-33.391.257;-70.496.049;CAMINO SAN FRANCISCO DE ASIS 2200;LAS CONDES;-0,333913;-0,704960
2139;-33.503.024;-70.679.265;PUQUELDON 6040;PEDRO AGUIRRE CERDA;-0,335030;-0,706793
2146;-33.413.541;-70.597.587;AUGUSTO LEGUIA NORTE 191;LAS CONDES;-0,334135;-0,705976
2176;-33.311.663;-70.655.066;CAMINO EL MONTE NORTE 14694;COLINA;-0,333117;-0,706551
2177;-34.461.065;-71.972.313;CAMINO A CIRUELOS 395;PICHILEMU;-0,344611;-0,719723
2185;-33.005.978;-71.550.104;JORGE MONTT 1630;VIÑA DEL MAR;-0,330060;-0,715501
2204;-33.331.075;-70.523.311;EL FALDEO 4041;LO BARNECHEA;-0,333311;-0,705233
2205;-33.277.752;-7.063.546;AV LAS AGUILAS 16;COLINA;-0,332778;-0,706355
2218;-33.422.805;-70.546.512;GUADARRAMA 1324;LAS CONDES;-0,334228;-0,705465
2223;-33.394.205;-70.557.604;HERMANOS CABOT 7420;LAS CONDES;-0,333942;-0,705576
2224;-33.340.366;-70.476.187;CAMINO REFUGIOS DEL ARRAYAN 17770;LO BARNECHEA;-0,333404;-0,704762
2231;-33.422.441;-70.552.298;ALONSO DE CAMARGO 7559;LAS CONDES;-0,334224;-0,705523
2241;-333.536;-70.479.521;CAMINO EL REFUGIO 16775;LO BARNECHEA;-3,335360;-0,704795
2257;-33.399.972;-70.577.255;PRESIDENTE KENNEDY 5420;VITACURA;-0,334000;-0,705773
2258;-33.601.203;-7.069.892;ELEUTERIO RAMIREZ 915;SAN BERNARDO;-0,336012;-0,706989
2267;-33.427.848;-70.605.541;SUECIA 791;PROVIDENCIA;-0,334278;-0,706055
2270;-33.664.711;-70.874.686;CAMINO EL OLIVETO PARCELA 5;TALAGANTE;-0,336647;-0,708747
2271;-33.407.532;-7.058.182;AV PRESIDENTE RIESCO 5037;LAS CONDES;-0,334075;-0,705818
2279;-33.439.202;-7.052.488;SUBERCASEAUX 10275;LA REINA;-0,334392;-0,705249
2308;-33.565.369;-70.774.937;LAUTARO 18460;MAIPÚ;-0,335654;-0,707749
2309;-33.397.836;-7.054.427;AV PADRE HURTADO CENTRAL 560;LAS CONDES;-0,333978;-0,705443
2395;-33.453.642;-70.554.197;LOS LAURELES 7088;LA REINA;-0,334536;-0,705542
2397;-33.390.907;-70.542.714;LAS VERBENAS 9235;LAS CONDES;-0,333909;-0,705427
2417;-32.996.537;-71.481.283;CALLE 13 26;VIÑA DEL MAR;-0,329965;-0,714813
2425;-3.340.963;-70.511.135;OTOÑAL ORIENTE 11880;LAS CONDES;-0,334096;-0,705111
2461;-33.426.225;-70.575.169;ISABEL LA CATOLICA 4535;LAS CONDES;-0,334262;-0,705752
2463;-33.349.158;-70.667.726;CAMINO EL ROBLE 1334;HUECHURABA;-0,333492;-0,706677
2479;-33.467.039;-70.526.921;JOSE ARRIETA 9875;PEÑALOLEN;-0,334670;-0,705269
2488;-33.685.014;-70.957.024;CAMINO LA PALMA N°5;TALAGANTE;-0,336850;-0,709570
2489;-33.433.841;-70.629.848;AVDA SANTA MARIA 346;PROVIDENCIA;-0,334338;-0,706298
2490;-33.363.078;-70.670.821;PEDRO FONTOVA 6450;HUECHURABA;-0,333631;-0,706708
2491;-33.356.108;-70.510.662;PADRE ALFREDO ARTEAGA 1601;LO BARNECHEA;-0,333561;-0,705107
2526;-3.338.469;-70.611.384;RINCONADA EL SALTO 950;HUECHURABA;-0,333847;-0,706114
2529;-3.295.016;-71.541.067;ESCRIVA DE BALAGUER 725;VIÑA DEL MAR;-0,329502;-0,715411
2543;-33.457.181;-70.526.226;JULIA BERSTEIN 607;LA REINA;-0,334572;-0,705262
2549;-33.464.877;-70.519.588;LOS GUANACOS 383;PEÑALOLEN;-0,334649;-0,705196
2562;-33.259.136;-70.626.554;AV PADRE SERGIO CORREA 11401;COLINA;-0,332591;-0,706266
2565;-33.644.332;-71.625.684;LAS DALIAS 5;SANTO DOMINGO;-0,336443;-0,716257
2587;-33.433.971;-70.604.426;LAS VIOLETAS 2246;PROVIDENCIA;-0,334340;-0,706044
2594;-33.442.543;-70.525.038;CARLOS SILVA VILDOSOLA 10329;LA REINA;-0,334425;-0,705250
2613;-33.325.497;-70.502.276;CAMINO DEL ARRIERO 32;LO BARNECHEA;-0,333255;-0,705023
2621;-32.649.085;-71.439.452;AV DEL MAR 2300;MAITENCILLO;-0,326491;-0,714395
2624;-33.364.132;-7.067.454;SANTA MARTA DE HUECHURABA 7775;HUECHURABA;-0,333641;-0,706745
2649;-33.488.003;-70.552.163;LOS PRESIDENTES 8130;PEÑALOLEN;-0,334880;-0,705522
2668;-33.330.752;-70.507.148;LAGO LEMAN 3728;LO BARNECHEA;-0,333308;-0,705071
2690;-33.412.819;-70.587.149;LA GIOCONDA 4300;LAS CONDES;-0,334128;-0,705871
2698;-33.376.131;-70.545.411;MONSEÑOR ESCRIVA DE BALAGUER 9459;VITACURA;-0,333761;-0,705454
2715;-33.431.535;-70.620.798;JOSE MIGUEL CLARO 190;PROVIDENCIA;-0,334315;-0,706208
2720;-33.560.153;-70.832.742;AVENIDA LAGUNA 3051;PADRE HURTADO;-0,335602;-0,708327
2724;-33.256.692;-70.627.935;LA CUMBRE 28;COLINA;-0,332567;-0,706279
2726;-33.415.269;-70.560.397;MARTIN DE ZAMORA 6611;LAS CONDES;-0,334153;-0,705604
2747;-33.448.255;-70.643.683;SAN ISIDRO 337;SANTIAGO;-0,334483;-0,706437
2750;-33.230.073;-70.718.737;LAS CAÑAS PARCELA U - 22;COLINA;-0,332301;-0,707187
2756;-33.341.361;-70.499.525;CAMINO DEL ATARDECER 14693;LO BARNECHEA;-0,333414;-0,704995
2784;-33.520.351;-70.541.845;CAMINO DEL RETIRO 5854;LA FLORIDA;-0,335204;-0,705418
2801;-33.246.279;-70.725.453;CONDOMINIO LIRAY PARCELA 22;COLINA;-0,332463;-0,707255
2803;-33.418.939;-70.557.665;PONTEVEDRA 1121;LAS CONDES;-0,334189;-0,705577
2834;-33.418.565;-70.520.157;EL REMANSO 11110;LAS CONDES;-0,334186;-0,705202
2839;-33.387.418;-70.576.832;LUIS PASTEUR 6006;VITACURA;-0,333874;-0,705768
2841;-33.387.683;-70.591.965;ESCRIBANO DIEGO RUTAL 2853;VITACURA;-0,333877;-0,705920
2843;-33.404.836;-70.562.546;IBSEN 6595;LAS CONDES;-0,334048;-0,705625
2854;-33.406.141;-70.585.177;CERRO LA PARVA 766;LAS CONDES;-0,334061;-0,705852
2860;-33.363.297;-70.490.368;LA DISPUTADA 15370;LO BARNECHEA;-0,333633;-0,704904
2879;-33.452.491;-70.603.264;VILLASECA 123;ÑUÑOA;-0,334525;-0,706033
2903;-33.407.155;-70.566.307;ESCANDINAVIA 152;LAS CONDES;-0,334072;-0,705663
2930;-33.452.516;-70.619.066;LINCOYAN 1153;ÑUÑOA;-0,334525;-0,706191
2954;-33.449.271;-70.765.777;CLAUDIO ARRAU 9250 - H;PUDAHUEL;-0,334493;-0,707658
2956;-33.453.936;-70.852.351;LAS DALIAS 979;PUDAHUEL;-0,334539;-0,708524
2964;-33.334.903;-70.517.678;AV MONSEÑOR ADOLFO RODRIGUEZ 12772;LO BARNECHEA;-0,333349;-0,705177
2997;-32.959;-715.473;SUBIDA EL ENCANTO 460;VIÑA DEL MAR;-3,295900;-7,154730
3001;-33.580.316;-70.827.388;CAMINO MELIPILLA 3812;PADRE HURTADO;-0,335803;-0,708274
3025;-33.587.863;-70.821.445;SUMAYA 49;PADRE HURTADO;-0,335879;-0,708214
3052;-33.407.648;-70.566.339;ESCANDINAVIA 110;LAS CONDES;-0,334076;-0,705663
3071;-33.533.838;-7.055.016;GINGKO AMARILLO 8947;LA FLORIDA;-0,335338;-0,705502
3096;-33.685.443;-7.091.413;CAMINO CARAMPANGUE 175;TALAGANTE;-0,336854;-0,709141
3119;-33.443.963;-7.054.755;PINTOR RAMOS CATALAN 911;LA REINA;-0,334440;-0,705476
3139;-33.391.051;-70.550.562;PRESIDENTE KENNEDY 8335;VITACURA;-0,333911;-0,705506
3167;-33.411.519;-70.596.499;CRISTAL DE ABELLI 3199;LAS CONDES;-0,334115;-0,705965
3169;-33.499.293;-70.525.451;CAMINO EL PASO 4229;PEÑALOLEN;-0,334993;-0,705255
3186;-33.345.479;-70.664.404;LOS FRESNOS 1188;HUECHURABA;-0,333455;-0,706644
3221;-33.444.251;-70.613.175;LOS CAPITANES 1400;PROVIDENCIA;-0,334443;-0,706132
3276;-33.409.403;-70.534.651;LA ESCUELA 553;LAS CONDES;-0,334094;-0,705347
3285;-33.432.592;-70.585.603;AV FRANCISCO BILBAO 3775;PROVIDENCIA;-0,334326;-0,705856
3289;-33.430.582;-70.641.972;LORETO 275;RECOLETA;-0,334306;-0,706420
3322;-33.436.178;-70.524.727;ONOFRE JARPA 10163;LA REINA;-0,334362;-0,705247
3333;-33.392.574;-70.494.676;SAN FRANCISCO DE ASIS 2300;LAS CONDES;-0,333926;-0,704947
3354;-33.421.896;-70.539.935;VISVIRI 1320;LAS CONDES;-0,334219;-0,705399
3357;-33.363.761;-70.491.036;PASTOR FERNANDEZ 15317;MELIPILLA;-0,333638;-0,704910
3383;-33.406.014;-70.511.488;LOS ARRAYANES 2398;LAS CONDES;-0,334060;-0,705115
3397;-33.395.035;-70.558.093;CAPITAN CROSBIE 853;LAS CONDES;-0,333950;-0,705581
3414;-33.441.657;-70.563.469;LA CAÑADA 6610;LA REINA;-0,334417;-0,705635
3417;-33.487.679;-70.542.843;PARQUE LAUCA 2808;PEÑALOLEN;-0,334877;-0,705428
3423;-33.008.694;-71.177.861;EL BAJO 6154;VILLA ALEMANA;-0,330087;-0,711779
3431;-33.389.953;-70.568.222;ARQUITECTO JAIME SANFUENTES 1635;VITACURA;-0,333900;-0,705682
3433;-33.396.761;-70.506.499;AV LA PLAZA 1451;LAS CONDES;-0,333968;-0,705065
3436;-3.362.568;-70.918.486;SANTO TOMAS 11;PEÑAFLOR;-0,336257;-0,709185
3452;-33.656.848;-70.825.869;CONDOMINIO VISTA HERMOSA PARCELA 18;TALAGANTE;-0,336568;-0,708259
3459;-33.411.888;-70.590.454;LAS TORCAZAS 290;LAS CONDES;-0,334119;-0,705905
3475;-33.405.185;-70.551.683;MIGUEL ANGEL BUONAROTTI 412;LAS CONDES;-0,334052;-0,705517
3507;-33.349.915;-70.522.635;BLANCA ESTELA 1789;VIÑA DEL MAR;-0,333499;-0,705226
3540;-33.635.163;-70.831.994;CONDOMINIO SAN PEDRO PARCELA 6;CALERA DE TANGO;-0,336352;-0,708320
3550;-33.230.073;-70.718.737;CONDOMINIO LAS CAÑAS 1 PARCELA Y-26;COLINA;-0,332301;-0,707187
3560;-33.264.599;-70.769.548;CONDOMINIO SANTA TERESITA DE LISIEUX PARCELA 104;LAMPA;-0,332646;-0,707695
3578;-33.654.997;-70.586.456;AV ALCALDE HERNAN PRIETO 100;PIRQUE;-0,336550;-0,705865
3600;-3.337.064;-7.043.946;CAMINO FARELLONES 20631;LO BARNECHEA;-0,333706;-0,704395
3605;-33.416.704;-70.568.349;DOMINGO BONDI 960;LAS CONDES;-0,334167;-0,705683
3609;-33.486.644;-7.054.125;PARQUE CONGUILLIO PONIENTE 2733;PEÑALOLEN;-0,334866;-0,705413
3620;-3.326.015;-70.761.223;CONDOMINIO STA ROSA DE LAMPA PARCELA 108;LAMPA;-0,332602;-0,707612
3638;-33.421.896;-70.539.935;VISVIRI 1320;LAS CONDES;-0,334219;-0,705399
3649;-33.609.616;-70.831.035;MANUEL CASTILLO 2333;PEÑAFLOR;-0,336096;-0,708310
3655;-33.418.451;-70.557.412;PONTEVEDRA 1078;LAS CONDES;-0,334185;-0,705574
3680;-33.329.177;-7.051.995;PASEO DEL SENA 12317;LO BARNECHEA;-0,333292;-0,705200
3681;-33.348.776;-70.679.291;CAMINO DEL ROBLE 1725;HUECHURABA;-0,333488;-0,706793
3750;-33.357.067;-70.543.352;CERRO PAN DE AZUCAR 10452;LO BARNECHEA;-0,333571;-0,705434
3762;-33.687.925;-70.577.159;LAGUNA DE LO ARCAYA PARCELA 10 LOTE 10;PIRQUE;-0,336879;-0,705772
3769;-33.404.148;-7.054.127;CANTERBURY 1351;LAS CONDES;-0,334041;-0,705413
3771;-33.310.071;-70.659.499;CAMINO DEL REFUGIO 13720;COLINA;-0,333101;-0,706595
3786;-3.272.178;-71.214.082;CAMINO LAS ROMAZAS S/N;QUILPUE;-0,327218;-0,712141
3817;-32.949.782;-71.545.233;EDMUNDO ELUCHANS 2855;VIÑA DEL MAR;-0,329498;-0,715452
3843;-33.420.938;-70.540.338;ALONSO DE CAMARGO 8891;LAS CONDES;-0,334209;-0,705403
3864;-33.412.795;-70.591.232;SAN FRANCISCO DE ASIS 205;LAS CONDES;-0,334128;-0,705912
3922;-33.357.067;-70.543.352;CERRO PAN DE AZUCAR 10452;LO BARNECHEA;-0,333571;-0,705434
3924;-3.351.909;-70.537.798;CAMINO LA VOCACION 6017;LA FLORIDA;-0,335191;-0,705378
3926;-33.451.639;-70.565.432;AV LYNCH NORTE 148;LA REINA;-0,334516;-0,705654
3962;-33.669.908;-70.843.534;CONDOMINIO SANTA MONICA PARCELA 18;TALAGANTE;-0,336699;-0,708435
3975;-33.553.064;-70.773.668;CAUPOLICAN 0;MAIPÚ;-0,335531;-0,707737
4002;-32.976.848;-71.542.136;HALIMEDA 433;VIÑA DEL MAR;-0,329768;-0,715421
4005;-33.392.922;-70.555.719;AV PRESIDENTE KENNEDY 7753;LAS CONDES;-0,333929;-0,705557
4010;-33.424.757;-70.580.549;RODRIGO DE TRIANA 4260;LAS CONDES;-0,334248;-0,705805
4023;-3.347.676;-70.600.677;LOS ESPINOS 3033;MACUL;-0,334768;-0,706007
4097;-33.443.331;-70.617.542;AV JOSE MIGUEL CLARO 1555;PROVIDENCIA;-0,334433;-0,706175
4136;-3.324.678;-70.791.706;CONDOMINIO ALGARROBO DE BATUCO 0;LAMPA;-0,332468;-0,707917
4182;-33.404.148;-7.054.127;CANTERBURY 1351;LAS CONDES;-0,334041;-0,705413
4187;-33.309.852;-70.660.943;TRANQUE PONIENTE 10340;COLINA;-0,333099;-0,706609
4195;-33.455.622;-70.612.779;QUIRIHUE 255;ÑUÑOA;-0,334556;-0,706128
4202;-33.441.438;-70.612.816;ANTONIO VARAS 1610;PROVIDENCIA;-0,334414;-0,706128
4208;-33.656.893;-70.830.681;CAMINO LONQUEN 0;TALAGANTE;-0,336569;-0,708307
4239;-3.327.618;-70.713.147;CONDOMINIO EL ALGARROBAL 1 0;COLINA;-0,332762;-0,707131
4242;-32.770.976;-70.836.141;CAMINO ANTOFAGASTA S/N;PANQUEHUE;-0,327710;-0,708361
4254;-3.339.722;-7.056.525;OSCAR TENHANN 855;LAS CONDES;-0,333972;-0,705653
4272;-33.345.407;-70.668.193;LOS FRESNOS 1377;HUECHURABA;-0,333454;-0,706682
4281;-33.394.768;-70.599.408;AV BICENTENARIO 4035;VITACURA;-0,333948;-0,705994
4282;-33.386.453;-7.054.089;AV PRESIDENTE KENNEDY 9570;VITACURA;-0,333865;-0,705409
4315;-33.457.379;-70.573.296;FRANCISCO DE VILLAGRA 385;ÑUÑOA;-0,334574;-0,705733
4344;-32.941.173;-71.543.366;LOS HIBISCUS 945;CON CON;-0,329412;-0,715434
4369;-334.032;-7.056.011;LA PIEDAD 175;LAS CONDES;-3,340320;-0,705601
4372;-33.418.914;-70.557.654;PONTEVEDRA 1121;LAS CONDES;-0,334189;-0,705577
4383;-33.420.696;-70.538.106;ALONSO DE CAMARGO 8916;LAS CONDES;-0,334207;-0,705381
4390;-33.760.063;-7.073.216;RUBEN ALBORNOZ PAVEZ EL CHICHO 30;LINDEROS;-0,337601;-0,707322
4412;-33.423.606;-70.564.456;MANQUEHUE SUR 1515;LAS CONDES;-0,334236;-0,705645
4413;-33.422.801;-70.564.569;AV MANQUEHUE SUR 1445;LAS CONDES;-0,334228;-0,705646
4414;-33.363.555;-70.512.657;AV RAUL LABBE 12940;LO BARNECHEA;-0,333636;-0,705127
4415;-33.418.115;-70.569.705;CRISTOBAL COLON 5444;LAS CONDES;-0,334181;-0,705697
4422;-33.455.121;-70.583.854;AV IRARRAZAVAL 4345;ÑUÑOA;-0,334551;-0,705839
4429;-3.320.845;-70.728.543;SANTA ELENA 659;COLINA;-0,332085;-0,707285
4435;-33.424.945;-70.618.696;ANTONIO BELLET 305;PROVIDENCIA;-0,334249;-0,706187
4449;-33.279.378;-70.641.473;SAN JOSE 14445;COLINA;-0,332794;-0,706415
